timestamp,zone,sol_hum,sol_temp,sol_ph,sol_ec,air_temp,air_hum,air_co2,air_vent,eau_ph,eau_turb,eau_niveau,eau_debit
2024-01-18 00:00,A,44,22.1,6.8,1.3,24.2,58,408,6,7.1,2.1,78,3.2
2024-01-18 01:00,A,43,21.8,6.8,1.3,23.8,59,405,5,7.1,2.0,77,3.1
2024-01-18 02:00,A,42,21.5,6.7,1.2,23.3,60,402,5,7.0,2.0,77,3.0
2024-01-18 03:00,A,41,21.2,6.7,1.2,22.9,61,400,4,7.0,1.9,76,2.9
2024-01-18 04:00,A,40,21.0,6.7,1.2,22.5,62,398,4,7.0,1.9,76,2.9
2024-01-18 05:00,A,39,21.3,6.7,1.2,22.8,61,401,5,7.1,2.0,75,3.0
2024-01-18 06:00,A,38,22.0,6.8,1.3,24.1,59,407,7,7.1,2.1,75,3.1
2024-01-18 07:00,A,37,23.1,6.8,1.3,25.5,57,412,8,7.1,2.2,74,3.2
2024-01-18 08:00,A,42,24.1,6.8,1.3,27.3,55,416,9,7.1,2.3,74,3.2
2024-01-18 09:00,A,40,24.5,6.8,1.3,27.8,54,419,10,7.1,2.4,73,3.1
2024-01-18 10:00,A,39,25.2,6.9,1.4,28.5,52,422,11,7.2,2.5,73,3.0
2024-01-18 11:00,A,38,26.0,6.9,1.4,29.3,51,425,12,7.2,2.6,72,3.0
2024-01-18 12:00,A,36,26.8,6.9,1.4,30.1,50,428,13,7.2,2.7,72,2.9
2024-01-18 13:00,A,35,27.2,7.0,1.4,31.2,49,432,14,7.3,2.8,71,2.8
2024-01-18 14:00,A,33,27.5,7.0,1.5,31.8,48,435,14,7.3,2.9,71,2.8
2024-01-18 15:00,A,31,27.3,7.0,1.5,31.5,48,433,13,7.3,2.8,70,2.9
2024-01-18 16:00,A,30,26.8,6.9,1.4,30.8,49,430,12,7.2,2.7,70,3.0
2024-01-18 17:00,A,32,26.2,6.9,1.4,29.9,51,426,11,7.2,2.6,69,3.1
2024-01-18 18:00,A,35,25.4,6.9,1.4,28.8,53,420,9,7.1,2.4,69,3.2
2024-01-18 19:00,A,38,24.6,6.8,1.3,27.6,55,414,8,7.1,2.3,68,3.2
